Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
actief	adjectief	A.3.0	3197	571764	in dienst	tewerkgesteld	Full definition shorter than short
actief	adjectief	A.6.0	3197	570986	werkzaam	een bepaalde werking hebbend	Full definition shorter than short
actief	adjectief	A.8.0	3197	571774	in werking	ingeschakeld	Full definition shorter than short
acuut	adjectief	2.0	3320	572722	voor patiënten met een spoedeisende aandoening	onmiddellijk medisch ingrijpen vereisend voor spoedeisende aandoeningen	Full definition shorter than short
ademhalingsstoornis	substantief	1.0	3419	3420	ademhalingsmoeilijkheden	stoornis van de ademhaling	Full definition shorter than short
ademloos	adjectief	3.0	3423	573674	waarbij men de adem inhoudt	waarbij men vergeet adem te halen	Full definition shorter than short
adieu	substantief	B.1.0	3467	650733	laatste groet	afscheidsgroet	Full definition shorter than short
administratief	adjectief	1.0	3484	3485	kantoorwerk betreffend	van, bij of met betrekking tot de administratie	Full definition shorter than short
adviesbevoegdheid	substantief	1.0	3632	233673	bevoegdheid om adviezen te geven	bevoegdheid om advies uit te brengen	Full definition shorter than short
adviesrecht	substantief	1.0	3663	3664	recht om adviezen te geven	recht om advies uit te brengen	Full definition shorter than short
afasiepatiënt	substantief	1.0	3725	3726	patiënt met afasie	iemand die aan afasie lijdt	Full definition shorter than short
affreus	adjectief	1.0	3963	3964	foeilelijk	zeer lelijk	Full definition shorter than short
affreus	adjectief	2.0	3963	3965	afschuwelijk	verschrikkelijk	Full definition shorter than short
afg.	adjectief	1.0	586084	586085	afg.	afgelast	Full definition shorter than short
afgeborsteld	adjectief	2.0	329452	329478	goedverzorgd	onberispelijk	Full definition shorter than short
afhaler	substantief	5.0	4112	551649	vaartuig dat iemand afhaalt, ophaalt	vaartuig dat iemand van een schip afhaalt	Full definition shorter than short
afkeurenswaardig	adjectief	1.0	4172	4173	afkeuring verdienend	waard om afgekeurd te worden	Full definition shorter than short
afkomstig	adjectief	2.0	4217	575370	stammend uit	afgeleid van of ontleend uit	Full definition shorter than short
afkomstig	adjectief	6.0	4217	575174	vervaardigd uit	voortgebracht door	Full definition shorter than short
Afrikaans	adjectief	4.0	4478	575464	in het Afrikaans	behorend tot de Afrikaanse taal	Full definition shorter than short
afstandsgebonden	adjectief	1.0	413213	512522	aan een afstand gerelateerd	gebonden aan een bepaalde afstand	Full definition shorter than short
aftands paard	verbinding	2.0	924397	924399	afgeleefd paard	oud, versleten paard	Full definition shorter than short
afwezig	adjectief	3.0	5185	575612	in gedachten verzonken	er niet bij met zijn gedachten	Full definition shorter than short
afwisselend	adjectief	1.0	5213	5214	afwisseling, verscheidenheid biedend	afwisseling, verscheidenheid vertonend	Full definition shorter than short
afzonderlijk	adjectief	1.0	5313	5314	opzichzelfstaand	op zichzelf beschouwd	Full definition shorter than short
agent in burger	verbinding	1.0	907476	907503	agent in gewone kleding	agent die geen uniform draagt	Full definition shorter than short
agent in uniform	verbinding	1.0	907477	907504	agent in politiekleding	agent die een uniform draagt	Full definition shorter than short
