Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
boogscheut	substantief	1.0	23746	23747	relatief kleine afstand	kleine afstand kleine stap	Full definition shorter than short
boord aan boord	verbinding	1.0	905271	905273	naast elkaar	tegen elkaar aan	Full definition shorter than short
boos	adjectief	3.0	23879	584089	kwaadaardig	geneigd tot boosheid	Full definition shorter than short
bot	adjectief	D.2.0	24292	193789	op een lompe manier kortaf	kortaf en onbeleefd ongenuanceerd	Full definition shorter than short
bot vangen	werkwoord	1.0	909995	909996	geen succes krijgen	geen resultaat verkrijgen	Full definition shorter than short
botertje	substantief	1.0	525910	525911	portie boter	hoeveelheid boter	Full definition shorter than short
bovenlichaam	substantief	1.0	24968	227440	bovenste helft van het lijf	bovenste helft van het lichaam	Full definition shorter than short
boze tong	verbinding	1.0	894726	894747	kwaadspreker	iemand die kwaadspreekt	Full definition shorter than short
braadworst	substantief	3.0	25098	503251	penis	mannelijk lid	Full definition shorter than short
braam	substantief	1.1	25123	503629	bramensmaak	smaak of geur van bramen	Full definition shorter than short
braam	substantief	2.1	25123	503500	het geslacht braam	braamstruiken of braamsoorten	Full definition shorter than short
brak	adjectief	B.5.0	25179	194755	in slechte staat	van slechte kwaliteit	Full definition shorter than short
broker	substantief	1.1	25919	25923	effectenmakelaar	bedrijf als effectenmakelaar	Full definition shorter than short
broodje	substantief	2.0	26073	505813	een dergelijk broodje met beleg	bolletje, puntje, pistoletje of luxebroodje	Full definition shorter than short
broodje	substantief	3.0	26073	505748	baar	langwerpig stuk goud, koper, e.d.	Full definition shorter than short
bruisbad	substantief	2.0	26346	26348	het baden in een bruisbad	het nemen van een bruisbad	Full definition shorter than short
bubbelbad	substantief	2.0	26640	26642	het baden in een bubbelbad	het nemen van een bubbelbad	Full definition shorter than short
buitenschoolse opvang	substantief	1.0	315448	928679	bso	opvang van kinderen buiten schooltijd	Full definition shorter than short
burenhulp	substantief	2.0	27270	932881	burenbuddy	iemand die zijn buren helpt	Full definition shorter than short
Burundees	adjectief	1.0	27513	27515	van Burundi	van, uit, in Burundi	Full definition shorter than short
Bussumer	adjectief	2.0	27588	27590	van Bussum	van, uit, in Bussum	Full definition shorter than short
b.v.h.d.	tussenwerpsel	1.0	11569	11570	alvast hartelijk bedankt	bij voorbaat hartelijk dank	Full definition shorter than short
BWP	overige	2.0	27794	931476	Botswaanse pula	munteenheid van Botswana	Full definition shorter than short
Calabrees	adjectief	1.0	28048	550369	van de Calabrezen	van, uit, in Calabrië	Full definition shorter than short
calpoltablet	substantief	1.0	601482	610383	tablet dafalgan	tablet paracetamol	Full definition shorter than short
campagnemanager	substantief	1.0	424996	647655	manager van een politieke campagne	manager, leider van een verkiezingscampagne	Full definition shorter than short
campingeigenaar	substantief	1.0	28288	28289	campinghouder	eigenaar van een camping	Full definition shorter than short
Canadees	adjectief	1.0	28307	28309	van Canada	van, uit, in Canada	Full definition shorter than short
caoutchouc	substantief	A.1.1	321898	365071	stuk rubber	voorwerp van rubber	Full definition shorter than short
cargo	substantief	2.2	28609	374181	raket	ruimteschip	Full definition shorter than short
carrièrekans	substantief	1.0	28683	28684	kans om carrière te maken	kans om een carrière op te bouwen	Full definition shorter than short
carrièremogelijkheid	substantief	1.0	28693	28694	mogelijkheid om carrière te maken	mogelijkheid om een carrière op te bouwen	Full definition shorter than short
categoriek	adjectief	2.0	28927	28928	vastbesloten	onvoorwaardelijk	Full definition shorter than short
categorisch	adjectief	2.0	28929	374250	vastbesloten	onvoorwaardelijk	Full definition shorter than short
centrale badkamer	verbinding	1.0	908862	908863	gedeelde badkamer	badkamer die men deelt met anderen	Full definition shorter than short
chanteuse	substantief	1.0	29526	29527	chansonnière	zangeres van chansons	Full definition shorter than short
Chinees	adjectief	1.0	29824	29829	van de Chinezen	van, uit, in China	Full definition shorter than short
Chinees	adjectief	4.0	29824	29830	in het Chinees	behorend tot de Chinese taal	Full definition shorter than short
Chinese kaneel	verbinding	1.0	930924	930925	kassiekaneel	kaneel uit de bast van Cinnamomum cassia	Full definition shorter than short
Christuskind	substantief	1.0	445906	498767	Jezus Christus	Jezus Christus als kind voorstelling van het Christuskind	Full definition shorter than short
closetpapiertje	substantief	1.0	221827	221828	toiletpapiertje	velletje closetpapier	Full definition shorter than short
closetpot	substantief	1.0	30709	30710	toiletpot	pot van een closet	Full definition shorter than short
clou	substantief	2.0	30711	30713	climax	hoogtepunt	Full definition shorter than short
cobra	substantief	A.1.1	30882	305416	afbeelding van een cobra	voorstelling van een cobra	Full definition shorter than short
commanditaire deelname	verbinding	1.0	901931	901932	participatie als commanditair vennoot	deelname aan een commanditair vennootschap	Full definition shorter than short
comme il faut	adjectief	1.0	468334	567447	netjes	zoals het hoort	Full definition shorter than short
conceptbrief	substantief	1.0	430494	518674	brief in concept	voorlopige versie van een brief	Full definition shorter than short
Congolees	adjectief	1.0	32528	32531	van Congo-Kinshasa	van, uit, in Congo-Kinshasa	Full definition shorter than short
Congolees	adjectief	3.0	32528	32532	van Congo-Brazzaville	van, uit, in Congo-Brazzaville	Full definition shorter than short
copuleren	werkwoord	1.0	33465	33466	paren	geslachtsgemeenschap hebben	Full definition shorter than short
Culemborger	adjectief	2.0	34381	34383	van Culemborg	van, uit, in Culemborg	Full definition shorter than short
curvy	adjectief	1.0	890593	954236	welgevormd	met volle, vrouwelijke rondingen	Full definition shorter than short
daas	adjectief	B.1.0	34999	238738	verdoofd	verdwaasd	Full definition shorter than short
dadelijk	adjectief	1.0	35026	35027	direct	meteen op dat moment	Full definition shorter than short
dadelijk	adjectief	3.0	35026	535605	direct	daadwerkelijk	Full definition shorter than short
dag en uur	verbinding	1.0	912942	912943	de exacte tijd	het precieze tijdstip	Full definition shorter than short
dag noch uur	verbinding	1.0	912947	912950	de exacte tijd	het precieze tijdstip	Full definition shorter than short
dagen en dagen	verbinding	1.0	912893	912894	talloze dagen	een groot aantal dagen	Full definition shorter than short
Dalfser	adjectief	1.0	35295	35296	van Dalfsen	van, uit, in Dalfsen	Full definition shorter than short
dansmeestertje	substantief	2.0	224151	224170	dansmeester	(liefkozend) dansleraar	Full definition shorter than short
dansmeestertje	substantief	3.0	224151	224168	nuffige man	(pejoratief) nuffige man	Full definition shorter than short
dartel	adjectief	1.0	35670	35671	levendig	uitgelaten	Full definition shorter than short
datingfraudeur	substantief	1.0	536138	565208	fraudeur op een datingsite	iemand die datingfraude pleegt	Full definition shorter than short
de aftrap geven van iets	verbinding	1.0	907406	907411	iets min of meer officieel openen	iets min of meer officieel laten beginnen	Full definition shorter than short
de aftrap geven voor iets	verbinding	1.0	907407	907417	iets min of meer officieel openen	iets min of meer officieel laten beginnen	Full definition shorter than short
de aftrap verrichten	verbinding	2.0	907330	907408	iets min of meer officieel openen	iets min of meer officieel laten beginnen	Full definition shorter than short
de alarmbel luiden	verbinding	1.0	907835	907854	alarm slaan	waarschuwen dat iets misgaat	Full definition shorter than short
de ambetanterik uithangen	verbinding	1.0	907956	907957	lastig zijn	vervelend zijn	Full definition shorter than short
de ambtsketen afleggen	verbinding	1.0	908008	908010	ophouden burgemeester te zijn	het burgemeesterschap beëindigen	Full definition shorter than short
de ambtsketen overnemen	verbinding	1.0	908009	908012	opvolgen als burgemeester	het burgemeesterschap overnemen	Full definition shorter than short
de appel van iemands oog	verbinding	1.0	500298	908298	iemands oogappel	iemands meest geliefde persoon	Full definition shorter than short
de bel luiden	verbinding	1.0	638403	910706	alarm slaan	waarschuwen dat iets misgaat	Full definition shorter than short
de bewuste dag	verbinding	1.0	913011	913012	de dag die bekend is	de dag waarvan reeds sprake was	Full definition shorter than short
de blijde boodschap	verbinding	1.0	910863	910864	de boodschap van de Bijbel	de boodschap van het evangelie	Full definition shorter than short
de boer op	verbinding	2.0	910047	910053	weg	ergens anders heen	Full definition shorter than short
de boot in gaan	verbinding	1.0	905234	905235	ten onder gaan	een nederlaag lijden	Full definition shorter than short
de dag van heden	substantief	1.0	912972	912978	deze dag	de huidige dag	Full definition shorter than short
de embetanterik uithangen	verbinding	1.0	902841	902842	lastig zijn	vervelend zijn	Full definition shorter than short
de fut is eruit	verbinding	1.0	913377	913378	er gebeurt nauwelijks nog iets	de energie en lust om iets te ondernemen is weg	Full definition shorter than short
de hoed afnemen voor iemand of iets	verbinding	1.0	927065	927067	bewondering hebben voor iemand of iets	bewondering, respect hebben voor iemand of iets	Full definition shorter than short
de kanarie in de kolenmijn	verbinding	1.0	923940	923941	waarschuwingsteken	teken dat er iets mis is	Full definition shorter than short
de kop opsteken	verbinding	1.0	904814	904815	zich opnieuw vertonen	opnieuw tevoorschijn komen	Full definition shorter than short
de kous op de kop krijgen	verbinding	1.0	905634	905639	afgewezen worden	zijn inspanningen zien mislukken	Full definition shorter than short
de kraaienmars blazen	verbinding	1.0	476203	894663	overlijden	ophouden te leven	Full definition shorter than short
de moeite waard zijn	verbinding	1.0	918899	918906	opwegend tegen de investering	opwegend tegen de genomen moeite	Full definition shorter than short
de mot zit in iets	verbinding	1.0	926980	926981	iets heeft zijn beste tijd gehad	de kwaliteit van iets is verminderd	Full definition shorter than short
de mussen vallen van het dak	verbinding	1.0	896842	896843	het is zeer warm weer	de buitentemperatuur is erg hoog	Full definition shorter than short
de pineut zijn	verbinding	1.0	321193	930457	de dupe zijn	het slachtoffer zijn	Full definition shorter than short
de pisang zijn	verbinding	1.0	930479	930480	de dupe zijn	het slachtoffer zijn	Full definition shorter than short
de sigaar zijn	verbinding	1.0	321168	899275	de dupe zijn	het slachtoffer zijn	Full definition shorter than short
de tongen komen los	verbinding	1.0	895921	895922	de discussie komt op gang	men begint ergens over te praten	Full definition shorter than short
de tongen losmaken	verbinding	1.0	895916	895917	de discussie op gang brengen	ervoor zorgen dat mensen ergens over gaan praten	Full definition shorter than short
Delfzijler	adjectief	2.0	36832	36834	van Delfzijl	van, uit, in Delfzijl	Full definition shorter than short
Delfzijls	adjectief	1.0	531832	531837	van Delfzijl	van, uit, in Delfzijl	Full definition shorter than short
delinquent	substantief	1.0	36870	36871	misdadiger	pleger van een misdrijf	Full definition shorter than short
dementie	substantief	1.1	36955	324291	alzheimer	ziekte van Alzheimer	Full definition shorter than short
demure	adjectief	1.0	982937	983204	ingetogen	bewust bescheiden	Full definition shorter than short
denktraditie	substantief	1.0	463003	872632	traditionele denkwijze	door de traditie bepaalde manier van denken	Full definition shorter than short
diaconaat	substantief	1.0	38008	38009	diakenschap	ambt van diaken	Full definition shorter than short
dickpic	substantief	1.0	937305	943340	piemelfoto	foto van een penis	Full definition shorter than short
dienstperiode	substantief	5.0	425375	592300	periode waarin iets dienst doet	periode waarin iets in gebruik is	Full definition shorter than short
dieperik	substantief	1.0	38564	38565	val	diepte	Full definition shorter than short
diepzwart	adjectief	2.0	38649	38651	absoluut rampzalig	uitermate verschrikkelijk	Full definition shorter than short
dierenbegraafplaats	substantief	1.0	38697	38698	kerkhof voor dieren	begraafplaats voor dieren	Full definition shorter than short
dijkhuis	substantief	1.0	38996	38997	dijkwoning	huis gebouwd langs of bij een dijk	Full definition shorter than short
ditjes en datjes	substantief	1.0	409803	932389	koetjes en kalfjes	onbelangrijke onderwerpen	Full definition shorter than short
doelgerichtheid	substantief	2.0	40171	377289	het gericht zijn op het doel, op de goal	het ingesteld zijn op het maken van doelpunten	Full definition shorter than short
doelpuntenmachine	substantief	4.0	471552	629200	team dat veel doelpunten scoort	sportploeg die veel doelpunten maakt	Full definition shorter than short
Dokkumer	adjectief	2.0	40376	40378	bij de Dokkumers bij Dokkum	van, uit, in Dokkum in eigennamen: bij, in, naar Dokkum	Full definition shorter than short
Dokkumer	adjectief	2.1	40376	227561	naar Dokkum	in eigennamen: bij, in, naar Dokkum	Full definition shorter than short
door de eeuwen heen	verbinding	1.0	902574	902575	door de tijd heen	in de loop van de tijd	Full definition shorter than short
door de ratten besnuffeld zijn	verbinding	1.0	910189	910194	absurd zijn	niet te geloven zijn	Full definition shorter than short
door de ratten besnuffeld zijn	verbinding	2.0	910189	910195	niet goed wijs zijn	helemaal gek geworden zijn	Full definition shorter than short
door de wol geverfd	verbinding	1.0	915695	915696	zeer ervaren	met veel ervaring	Full definition shorter than short
door elkaar klutsen	verbinding	1.0	928371	928372	door elkaar haspelen	onderling overhoop halen	Full definition shorter than short
doordat	voegwoord	1.0	232357	933016	met als reden dat	met als oorzaak dat	Full definition shorter than short
doorgaans	bijwoord	1.0	41352	41353	in de regel	zoals meestal het geval is	Full definition shorter than short
doorkoken	werkwoord	1.0	41409	41410	verder koken	doorgaan met koken	Full definition shorter than short
doorkoken	werkwoord	2.0	41409	886381	door en door koken	iets door en door koken	Full definition shorter than short
douanebeambte	substantief	1.0	41940	41941	douaneambtenaar	beambte van de douane	Full definition shorter than short
drank	substantief	1.1	42408	42412	de drankjes	wat er gedronken is	Full definition shorter than short
dreinen	werkwoord	2.0	42547	42549	voortdurend klinken	zeurend (weer)klinken	Full definition shorter than short
driftkop	substantief	1.0	390190	582953	heetgebakerd persoon	iemand die snel driftig wordt	Full definition shorter than short
driftkoppigheid	substantief	1.0	583033	583034	het geneigd zijn snel driftig te worden	geestestoestand die snel tot drift leidt	Full definition shorter than short
drillen	werkwoord	4.0	42949	42953	lillen	trillend bewegen	Full definition shorter than short
dromer	substantief	3.0	43077	587447	idealist	iemand die idealen nastreeft	Full definition shorter than short
drop	substantief	1.2	43210	512734	dropje	snoepje van drop	Full definition shorter than short
dropje	substantief	4.0	43217	512847	wybertje	ruitvormig typografisch teken	Full definition shorter than short
duizend gezichten hebben	verbinding	1.0	915885	915886	veel kanten hebben	veel eigenschappen hebben	Full definition shorter than short
duizend gezichten hebben	verbinding	2.0	915885	915887	veel variatie tonen	veel aspecten hebben	Full definition shorter than short
duwer	substantief	4.0	242363	603530	iemand die iets vooruit helpt	iemand die iets vooruit helpt lijstduwer	Full definition shorter than short
dwaallicht	substantief	2.1	44246	605598	mislukkeling	iemand die niets kan	Full definition shorter than short
dwarsfluit	substantief	1.1	44311	225576	klank van de dwarsfluit	geluid van de dwarsfluit	Full definition shorter than short
een aardig zakcentje	verbinding	1.0	904113	904116	een redelijke hoeveelheid geld	een aanzienlijke hoeveelheid geld	Full definition shorter than short
een aardige cent	verbinding	1.0	900378	900379	een redelijke hoeveelheid geld	een aanzienlijke hoeveelheid geld	Full definition shorter than short
een aardige duit	verbinding	1.0	904111	904114	een redelijke hoeveelheid geld	een aanzienlijke hoeveelheid geld	Full definition shorter than short
een aardige stuiver	verbinding	1.0	904112	904115	een redelijke hoeveelheid geld	een aanzienlijke hoeveelheid geld	Full definition shorter than short
een afslag missen	verbinding	1.0	907319	907320	iets mislopen	een stap overslaan	Full definition shorter than short
een bekende kop	verbinding	1.0	905008	905009	iemand die bekend is	iemand met een bekend gezicht	Full definition shorter than short
een bel doen rinkelen	verbinding	1.0	910708	910713	ergens aan doen denken	iets in de herinnering oproepen	Full definition shorter than short
een belletje doen rinkelen	verbinding	1.0	910709	910710	ergens aan doen denken	iets in de herinnering oproepen	Full definition shorter than short
een blauwe maandag	verbinding	1.0	930065	930066	maar eventjes	gedurende een zeer korte periode	Full definition shorter than short
een dik halfuur	verbinding	1.0	903454	903461	ruim een halfuur	iets meer dan een halfuur	Full definition shorter than short
een dikke eeuw	verbinding	1.0	902579	902581	een ruime eeuw	iets meer dan een eeuw	Full definition shorter than short
een dubbeltje inleveren	verbinding	1.0	927443	927447	een dubbeltje in waarde zakken	tien cent of eurocent in waarde zakken	Full definition shorter than short
een dubbeltje kwijtraken	verbinding	1.0	927444	927446	een dubbeltje in waarde zakken	tien cent of eurocent in waarde zakken	Full definition shorter than short
een flinke bos hout voor de deur	verbinding	1.0	901038	901039	grote borsten	een grote boezem	Full definition shorter than short
een flinke duit	verbinding	1.0	913614	913615	een grote hoeveelheid geld	een aanzienlijke hoeveelheid geld	Full definition shorter than short
een flinke eter	verbinding	2.0	902993	903000	dier dat veel eet	dier met een flinke eetlust	Full definition shorter than short
een gezonde eter	verbinding	1.0	902969	902974	iemand die graag eet	iemand die een flinke eetlust heeft	Full definition shorter than short
een gluiperd eerste klas	verbinding	1.0	905500	905501	een enorme gluiperd	iemand die heel erg achterbaks is	Full definition shorter than short
een goed decennium	verbinding	1.0	911216	911217	ruim een decennium	iets meer dan een decennium	Full definition shorter than short
een goed halfuur	verbinding	1.0	903455	903462	ruim een halfuur	iets meer dan een halfuur	Full definition shorter than short
een goede eeuw	verbinding	1.0	902580	902583	ruim een eeuw	iets meer dan een eeuw	Full definition shorter than short
een goede eter	verbinding	1.0	902970	902973	iemand die graag eet	iemand die een flinke eetlust heeft	Full definition shorter than short
een goede week	verbinding	1.0	919673	919674	ruim een week	iets meer dan een week	Full definition shorter than short
een houten kop	verbinding	1.0	904996	904998	een kater	een hoofd dat pijn doet door te veel drank	Full definition shorter than short
een kaas met gaten	verbinding	2.0	898505	898514	gatenkaas	iets wat vol lacunes en gebreken zit	Full definition shorter than short
een kin als een centenbak	verbinding	1.0	928356	928357	een geprononceerde kin	een zeer naar voren uitstekende kin	Full definition shorter than short
een klein decennium	verbinding	1.0	911221	911222	bijna een decennium	iets minder dan een decennium	Full definition shorter than short
een kleine eeuw	verbinding	1.0	902591	902592	bijna een eeuw	iets minder dan een eeuw	Full definition shorter than short
een kleine week	verbinding	1.0	919677	919678	bijna een week	iets minder dan een week	Full definition shorter than short
een kop als vuur krijgen	verbinding	1.0	905005	905006	een heel rood hoofd krijgen	heel rood worden in het gezicht	Full definition shorter than short
een kort lontje hebben	verbinding	1.0	252492	252493	opvliegend zijn	snel boos worden	Full definition shorter than short
een mens van goede wil	verbinding	1.0	896143	896144	iemand die goed wil doen	iemand met goede intenties	Full definition shorter than short
een scheve schaats rijden	verbinding	1.0	895886	895887	een misstap begaan	iets bedrieglijks doen	Full definition shorter than short
een sik hebben van iets	verbinding	1.0	899303	899307	ergens helemaal klaar mee zijn	helemaal genoeg hebben van iets	Full definition shorter than short
een sik krijgen van iets	verbinding	1.0	899304	899305	ergens helemaal klaar mee zijn	helemaal genoeg hebben van iets	Full definition shorter than short
een slecht geweten	verbinding	1.0	585986	894696	een kwaad geweten	een gevoel van schuld	Full definition shorter than short
een slecht seizoen	verbinding	1.0	899498	899501	een seizoen met een slechte oogst	een seizoen met weinig oogst of succes	Full definition shorter than short
een vol decennium	verbinding	1.0	911225	911226	een volledig decennium	een volledige periode van tien jaar	Full definition shorter than short
een vol halfuur	verbinding	1.0	903460	903464	zeker 30 minuten	een volledig halfuur	Full definition shorter than short
een weg bewandelen	verbinding	1.0	897261	897262	(beginnen te) handelen op de genoemde wijze	een bepaalde handelwijze (beginnen te) volgen	Full definition shorter than short
een zoen in ontvangst nemen	verbinding	1.0	918039	918040	een zoen krijgen	een zoen accepteren	Full definition shorter than short
een zware wissel op iets	verbinding	1.0	919191	919198	iets wat veel vergt van iets	iets wat een hoge belasting vormt voor iets	Full definition shorter than short
eerdaags	bijwoord	1.0	45152	45153	binnenkort	binnen afzienbare tijd	Full definition shorter than short
eergisteravond	bijwoord	1.0	45160	45161	op de avond voor gisteren	op de avond van eergisteren	Full definition shorter than short
eergisternacht	bijwoord	1.0	469990	513527	in de nacht voor gisteren	in de nacht van eergisteren	Full definition shorter than short
eeuweling	substantief	1.0	485728	497732	iemand die meer dan honderd jaar oud is	iemand van 100 jaar of ouder iets van 100 jaar of ouder	Full definition shorter than short
eieren op de straatstenen kunnen bakken	verbinding	1.0	911942	911943	zeer warm zijn	tropische temperaturen bereiken	Full definition shorter than short
eigen baas	verbinding	1.0	910599	910601	zelfstandig ondernemer	iemand met een eigen bedrijf	Full definition shorter than short
eikenpollen	substantief	1.0	205433	205447	pollen van de eik	stuifmeel van de eik	Full definition shorter than short
eikenstuifmeel	substantief	1.0	205487	205512	pollen van de eik	stuifmeel van de eik	Full definition shorter than short
eitje	substantief	4.0	249172	249173	fluitje van een cent	gemakkelijk karweitje	Full definition shorter than short
elektrische fietser	verbinding	1.0	912367	912368	iemand die elektrisch fietst	iemand die op een elektrische fiets rijdt	Full definition shorter than short
Elzasser	substantief	2.0	46454	46456	Elzasser wijn	wijn uit de Elzas	Full definition shorter than short
Elzasser	adjectief	3.0	46454	46457	van de Elzassers	van, uit, in de Elzas	Full definition shorter than short
elzenpollen	substantief	1.0	205431	205445	pollen van de els	stuifmeel van de els	Full definition shorter than short
elzenstuifmeel	substantief	1.0	205492	205517	pollen van de els	stuifmeel van de els	Full definition shorter than short
emotioneel	adjectief	1.0	46612	46613	betrekking hebbend op de emoties	betrekking hebbend op het gevoelsleven	Full definition shorter than short
en bloc	bijwoord	2.0	424279	552570	in groten getale	met alle zaken bij elkaar	Full definition shorter than short
en dies meer	verbinding	1.0	490412	876361	en meer van dat soort zaken	en meer van dergelijke zaken	Full definition shorter than short
en dies meer	verbinding	2.0	490412	876368	en meer van dat soort mensen	en meer van dergelijke personen	Full definition shorter than short
en masse	bijwoord	1.0	409487	669631	in groten getale met een grote hoeveelheid dieren tegelijk	met een grote hoeveelheid personen tegelijk met een grote hoeveelheid dieren tegelijk	Full definition shorter than short
en masse	bijwoord	2.0	409487	870982	in grote hoeveelheden	met een grote hoeveelheid zaken tegelijk	Full definition shorter than short
en masse	bijwoord	1.1	409487	870985	met veel tegelijk	met een grote hoeveelheid dieren tegelijk	Full definition shorter than short
Enkhuizer	adjectief	2.0	47031	47033	van Enkhuizen	van, uit, in Enkhuizen	Full definition shorter than short
enthousiast	substantief	5.0	47128	588547	verwoed liefhebber	enthousiast persoon	Full definition shorter than short
entrecote	substantief	2.0	47152	47154	stuk entrecote	stuk rundvlees uit het tussenribstuk	Full definition shorter than short
er is werk aan de winkel	verbinding	1.0	919394	919395	er is werk te verrichten	er valt het nodige te doen	Full definition shorter than short
er met boter en suiker in gaan	verbinding	2.0	501526	927226	gefopt worden	beetgenomen worden	Full definition shorter than short
er met boter en suiker in glijden	verbinding	1.0	501530	927230	gefopt worden	beetgenomen worden	Full definition shorter than short
er met boter en suiker in lopen	verbinding	1.0	501531	927234	gefopt worden	beetgenomen worden	Full definition shorter than short
er met boter en suiker in stinken	verbinding	1.0	501533	927233	gefopt worden	beetgenomen worden	Full definition shorter than short
er met boter en suiker in trappen	verbinding	1.0	501532	927232	gefopt worden	beetgenomen worden	Full definition shorter than short
er staat veel zee	verbinding	1.0	900311	900312	er is veel golfslag	er zijn veel golven op zee	Full definition shorter than short
er zit geen kwaad bij	verbinding	1.0	907001	907002	iemand is goedaardig	iemand heeft een goed karakter	Full definition shorter than short
ergens bekaaid van afkomen	verbinding	1.0	894886	894887	ergens slecht van afkomen	ergens te weinig voor krijgen	Full definition shorter than short
ergens de leeftijd voor hebben	verbinding	1.0	914632	914633	oud genoeg zijn voor iets	ergens oud genoeg voor zijn	Full definition shorter than short
ergens een draai aan geven	verbinding	1.0	894855	894857	ergens een eigen versie van geven	ergens een eigen verhaal van maken	Full definition shorter than short
ergens een mouw aan passen	verbinding	1.0	895815	895816	iets weten te verhelpen	ergens iets aan weten te doen	Full definition shorter than short
ergens een streep door zetten	verbinding	1.0	904867	904868	iets dwarsbomen	ervoor zorgen dat iets niet doorgaat	Full definition shorter than short
ergens geen doekjes om winden	verbinding	1.0	903920	903921	ergens openlijk over praten	ergens geen geheim van maken	Full definition shorter than short
ergens geen pap van lusten	verbinding	1.0	898009	898010	iets niet leuk vinden	ergens niet van houden	Full definition shorter than short
ergens over de koppen kunnen lopen	verbinding	1.0	906006	906007	er is heel veel volk	het is er erg druk met mensen	Full definition shorter than short
ergens veel van weg hebben	verbinding	1.0	897605	897606	alle schijn hebben	ergens veel op lijken	Full definition shorter than short
ergens wel pap van lusten	verbinding	1.0	898012	898013	iets heel erg leuk vinden	ergens heel erg van houden	Full definition shorter than short
eten	werkwoord	A.1.0	47968	47971	iets nuttigen zich door te eten op de hals halen	iets als voedsel tot zich nemen door te eten krijgen	Full definition shorter than short
eten	substantief	B.1.0	47968	515830	voedsel	dat wat iemand eet	Full definition shorter than short
euro-	overige	1.0	219311	219336	Europees met betrekking tot de Europese Unie	met betrekking tot Europa met betrekking tot de EU	Full definition shorter than short
examentijd	substantief	2.0	49101	612574	begintijd en/of eindtijd van een examen	tijd waarop een examen begint of eindigt	Full definition shorter than short
eyecatcher	substantief	1.0	258367	870735	iets wat de aandacht trekt	iets wat in het oog springt	Full definition shorter than short
farmaceut	substantief	2.0	50173	50175	farmaceutisch bedrijf	geneesmiddelenfabrikant	Full definition shorter than short
fatbike	substantief	1.0	941290	941291	elektrische fatbike	elektrische fiets met dikke banden	Full definition shorter than short
feelgood	substantief	2.1	980183	980268	feelgoodfilm of feelgoodboek	film of boek in het feelgoodgenre	Full definition shorter than short
feil	substantief	1.0	50566	50567	gebrek	tekortkoming	Full definition shorter than short
fietspadennet	substantief	1.0	50936	486201	netwerk van onderling verbonden fietspaden	samenstel van onderling verbonden fietspaden	Full definition shorter than short
fijne peper	verbinding	1.0	918773	918776	fijngemalen peper	tot poeder gemalen peperkorrels	Full definition shorter than short
financieel aderlaten	verbinding	1.0	947237	947238	veel te veel geld laten betalen	in financieel opzicht ernstig benadelen	Full definition shorter than short
fittie	substantief	1.0	598199	598543	strijd	gevecht	Full definition shorter than short
flink	adjectief	1.0	51948	51949	welgebouwd	stevig van lichaamsbouw	Full definition shorter than short
flink	adjectief	2.0	51948	589315	kranig	zijn best doend	Full definition shorter than short
flink	adjectief	4.0	51948	589318	zeer	in sterke mate	Full definition shorter than short
flinkerd	substantief	2.0	476016	503357	iemand die flink is	iemand met een flink karakter	Full definition shorter than short
fluïde	substantief	2.0	52193	52195	fluïdum	vloeibaar cosmeticaproduct	Full definition shorter than short
foef	substantief	1.0	52248	52249	vagina	vrouwelijk geslachtsdeel	Full definition shorter than short
framboos	substantief	1.2	53028	517818	frambozengeur	geur van frambozen	Full definition shorter than short
Franeker	adjectief	2.0	53054	53056	van de Franekers	van, uit, in Franeker	Full definition shorter than short
Franse roos	verbinding	1.0	902050	902051	Rosa gallica	roos met rozerode kroonbladen	Full definition shorter than short
frietje	substantief	1.0	425581	518331	patatje	gefrituurd aardappelstaafje	Full definition shorter than short
frietje	substantief	2.0	425581	518345	patatje	portie friet	Full definition shorter than short
futloos	adjectief	2.0	53903	206302	slap	van geen of weinig fut getuigend	Full definition shorter than short
futloosheid	substantief	2.0	53905	228125	slapheid	het van geen of weinig fut getuigen	Full definition shorter than short
futloosheid	substantief	3.0	53905	228126	het slap zijn	het niet veerkrachtig zijn	Full definition shorter than short
gaarkoken	werkwoord	1.0	455528	885731	garen	door koken gaar maken	Full definition shorter than short
gaarkoken	werkwoord	2.0	455528	885735	garen	door koken gaar worden	Full definition shorter than short
gas	substantief	2.1	54456	622144	gasvoorziening	levering van gas	Full definition shorter than short
-gate	overige	1.0	880330	880331	affaire	in samenstellingen: schandaal	Full definition shorter than short
geb.	adjectief	2.0	54801	54803	gebonden	gebonden (van boeken)	Full definition shorter than short
geb.	adjectief	3.0	54801	54804	gebonden	gebonden (van personen)	Full definition shorter than short
gebocheld	adjectief	1.0	54926	54927	met een bochel alsof iemand of iets een bochel heeft	voorzien van een bochel alsof iemand of iets een bochel heeft	Full definition shorter than short
gebochelde	substantief	1.0	447503	653629	bochelaar	iemand met een bochel	Full definition shorter than short
geboortejaar	substantief	1.0	55018	55019	jaar waarin iemand geboren is	jaar van geboorte jaar waarin iets ontstond	Full definition shorter than short
gebrild	adjectief	1.0	55078	55079	een bril hebbend	voorzien van een bril	Full definition shorter than short
gebroken wit	verbinding	1.0	317257	900736	niet zuiver wit	wit dat neigt naar beige	Full definition shorter than short
gebruiksmogelijkheid	substantief	1.0	55166	55167	mogelijkheid om iets te gebruiken	mogelijkheid voor het gebruik van iets	Full definition shorter than short
